Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
24913.25846,9.999678,65.047618,869.999763,29.999812,863.731042,73.451975,68.245183,63.253939,62.894247,28.11909,93.998113,4.861652,15.444801,-0.001982,13.80558,22.067031,85.387626
25213.01717,9.999678,65.017242,869.999763,29.999812,864.149205,73.407226,68.2607,63.213386,62.928659,28.046466,93.366174,4.879199,15.442808,-0.001982,13.772528,22.106993,85.391299
25512.85017,9.999678,64.926118,869.999763,29.999812,867.123291,73.439453,68.124091,63.190254,62.895534,28.190392,93.36953,4.946817,15.652034,-0.001982,13.74815,21.912614,85.391699
25813.07591,9.999678,65.067432,869.999763,29.999812,861.96097,73.37991,67.964313,63.027161,62.710468,28.060051,93.516388,5.274661,15.279413,-0.001982,13.681767,22.056327,85.3824
26113.51246,9.999678,65.057734,869.999763,29.999812,861.904904,73.337777,68.014349,63.079509,62.87291,28.138379,93.560484,5.326707,15.446793,-0.001982,13.701816,22.187577,85.383646
