Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
448959.4291,9.999678,64.764726,869.999763,29.999812,870.20541,74.092499,69.300095,64.476093,63.543164,27.379845,99.706671,1.567437,16.755948,-0.001982,13.684642,22.039013,85.824991
449260.0448,9.999678,65.375038,869.999763,29.999812,867.173582,73.977407,69.290641,64.515545,63.392848,27.456225,99.908603,1.645912,15.775576,-0.001982,13.665921,21.978527,85.821718
449559.9975,9.999678,65.09969,869.999763,29.999812,873.188064,74.009013,69.360482,64.433367,63.564731,27.717142,99.38808,1.680476,15.986795,-0.001982,13.59889,21.868251,85.81746
449860.0098,9.999678,65.07741,869.999763,29.999812,866.431132,73.982143,69.32395,64.489414,63.618501,27.640438,99.482929,1.779002,15.777569,-0.001982,13.535823,21.953542,85.809723
450160.9205,9.999678,65.146134,869.999763,29.999812,866.183586,73.8679,69.194773,64.320437,63.575657,27.742979,100.020573,1.788971,15.504579,-0.001982,13.574522,22.01916,85.809165
450460.8795,9.999678,64.823203,869.999763,29.999812,871.230237,73.940448,69.20803,64.239925,63.415876,27.842903,102.19823,1.690927,16.122293,-0.001982,13.470571,21.88752,85.79917
450761.8965,9.999678,65.114929,869.999763,29.999812,867.695123,73.925865,69.154579,64.201046,63.328454,27.903723,102.13889,1.728875,15.94495,-0.001982,13.475534,21.953574,85.795943
451062.1025,9.999678,65.111658,869.999763,29.999812,866.078161,73.987438,69.03891,64.236325,63.287642,28.028061,100.840256,1.793563,15.534469,-0.001982,13.405426,21.949489,85.798017
451361.8451,9.999678,64.970487,869.999763,29.999812,867.63794,73.885286,68.956115,64.085503,63.217644,28.068914,105.351239,1.852241,15.992773,-0.001982,13.344853,22.104449,85.798947
451661.9509,9.999678,64.842385,869.999763,29.999812,866.020791,73.836025,68.865545,63.916124,63.247973,27.949097,103.697792,2.120094,16.409231,-0.001982,13.287793,22.039948,85.79652
451962.4711,9.999678,65.040625,869.999763,29.999812,867.561571,73.790225,68.848445,63.863914,63.104296,28.052199,107.428736,2.164032,16.010706,-0.001982,13.245611,22.208091,85.789453
452262.6315,9.999678,65.285132,869.999763,29.999812,872.086495,73.8231,68.78874,63.925585,63.105045,28.232158,111.014433,2.384648,15.197715,-0.001982,13.234388,22.167776,85.787658
452562.5132,9.999678,65.024558,869.999763,29.999812,872.178696,73.845844,68.914599,63.895451,63.04568,28.100614,119.867546,2.502166,15.801481,-0.001982,13.16906,22.17365,85.779959
452862.9807,9.999678,64.843433,869.999763,29.999812,865.87476,73.811586,68.751499,63.941897,63.06459,28.204186,102.671844,2.020463,15.859267,-0.001982,13.179224,22.131014,85.767593
453162.5084,9.999678,65.166837,869.999763,29.999812,871.394895,73.725626,68.720445,63.840263,63.211624,28.249913,95.701654,2.535852,15.767606,-0.001982,13.09513,22.120243,85.770271
453462.5764,9.999678,65.033709,869.999763,29.999812,867.250323,73.770776,68.735172,63.789928,63.045151,28.195949,95.434569,2.424627,15.749672,-0.001982,13.043276,22.161317,85.763446
453762.8402,9.999678,64.936325,869.999763,29.999812,871.690683,73.793578,68.743466,63.826571,63.231435,28.321653,95.510594,2.451141,15.829377,-0.001982,13.030015,22.145003,85.754529
454062.7263,9.999678,65.24165,869.999763,29.999812,871.319644,73.683412,68.801707,63.670264,62.989077,28.258873,94.357736,2.492443,15.59624,-0.001982,13.001774,22.237963,85.749935
454362.7997,9.999678,65.219365,869.999763,29.999812,867.088087,73.731427,68.552554,63.581408,63.102041,28.416978,91.189363,2.645027,15.054246,-0.001982,12.951101,22.198975,85.746458
454662.844,9.999678,64.514539,869.999763,29.999812,872.021303,73.834814,68.668883,63.713337,62.941689,28.421912,89.800741,2.731854,16.753955,-0.001982,12.910552,22.290958,85.737355
454963.0898,9.999678,64.932788,869.999763,29.999812,867.139123,73.795533,68.377453,63.504255,62.918203,28.196913,90.082965,2.825116,16.588567,-0.001982,12.84527,22.273664,85.745351
455262.8599,9.999678,65.186695,869.999763,29.999812,870.892353,73.877908,68.293606,63.374514,62.770677,28.375754,90.329799,2.936653,15.825392,-0.001982,12.851591,22.14474,85.728224
455563.4695,9.999678,64.891614,869.999763,29.999812,867.222384,73.665293,68.36642,63.423493,62.853886,28.299302,90.566302,3.014494,16.42318,-0.001982,12.813455,22.205368,85.725137
455863.6865,9.999678,65.270944,869.999763,29.999812,866.573252,73.623419,68.371792,63.351441,62.895499,28.474461,90.759119,3.205554,15.600225,-0.001982,12.735921,22.316037,85.717242
456163.2283,9.999678,65.156947,869.999763,29.999812,866.762683,73.626807,68.290274,63.34515,62.758184,28.552534,90.987775,3.351844,15.658012,-0.001982,12.703609,22.371375,85.712389
456463.232,9.999678,65.005123,869.999763,29.999812,871.643372,73.542283,68.286606,63.364016,62.86408,28.544893,91.24371,3.496783,15.903104,-0.001982,12.641799,22.30276,85.70826
456763.2667,9.999678,64.950166,869.999763,29.999812,865.216687,73.649778,68.226021,63.217516,62.822021,28.462911,95.864193,3.68448,16.11233,-0.001982,12.618916,22.388954,85.701547
457063.5742,9.999678,64.957991,869.999763,29.999812,865.144603,73.64941,68.094045,63.24021,62.795375,28.325993,95.946797,3.876371,15.966868,-0.001982,12.596596,22.349829,85.693373
457363.7934,9.999678,65.211361,869.999763,29.999812,866.872393,73.479307,68.118864,63.181257,62.778431,28.361794,95.669831,3.919912,15.6341,-0.001982,12.545863,22.22707,85.699575
457664.8475,9.999678,64.861805,869.999763,29.999812,870.287366,73.511529,67.85545,63.015329,62.687752,28.298768,95.614149,4.602569,16.174101,-0.001982,12.471061,22.570822,85.700598
457964.8388,9.999678,64.94846,869.999763,29.999812,865.240343,73.531983,67.975882,63.105824,62.661108,28.234243,95.535231,4.605347,16.164138,-0.001982,12.472911,22.365849,85.699929
458264.6631,9.999678,64.949301,869.999763,29.999812,870.899059,73.511934,67.818249,62.902685,62.607293,28.115901,95.700809,4.300482,16.369379,-0.001982,12.482223,22.300612,85.701816
458565.1555,9.999678,65.15645,869.999763,29.999812,865.322113,73.431126,67.784572,63.013685,62.661376,28.235993,95.70851,5.088108,15.673953,-0.001982,12.380949,22.157537,85.70534
458865.7455,9.999678,65.192196,869.999763,29.999812,865.636155,73.278041,67.710628,62.804778,62.599131,28.421897,95.867429,5.195809,15.490631,-0.001982,12.358746,22.465635,85.70097
459166.2326,9.999678,65.049464,869.999763,29.999812,868.914224,73.356858,67.809693,62.899845,62.793059,28.202969,95.986414,5.419695,15.624137,-0.001982,12.314856,22.354534,85.713811
