Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
103467.5213,9.999678,64.910836,869.999763,30.999286,875.543006,73.017747,67.105501,62.651184,62.52099,27.355792,95.69962,11.218098,16.411224,-0.001982,13.532153,21.735734,86.615126
103767.7607,9.999678,65.367505,869.999763,30.999286,875.259884,73.081743,67.208368,62.493306,62.52515,27.393242,95.629513,11.144122,14.886866,-0.001982,13.483807,21.724948,86.594009
104068.1435,9.999678,64.502516,869.999763,30.999286,875.024445,73.114394,67.155212,62.631905,62.551261,27.381151,95.49531,11.006685,16.957203,-0.001982,13.437646,21.842138,86.58498
104368.2044,9.999678,65.248044,869.999763,30.999286,875.619747,73.141727,67.083762,62.565409,62.571667,27.460592,95.498018,11.046967,15.618159,-0.001982,13.420258,21.81818,86.583632
104668.3734,9.999678,65.154701,869.999763,30.999286,879.98262,73.046135,67.131929,62.572043,62.674519,27.507522,95.491704,10.967897,15.311295,-0.001982,13.367847,21.752772,86.578574
104969.1885,9.999678,64.751657,869.999763,30.999286,873.877801,73.084248,67.210278,62.693626,62.691739,27.577001,95.485904,10.908236,16.686206,-0.001982,13.349364,21.937203,86.574176
105268.7679,9.999678,65.415029,869.999763,30.999286,874.714687,73.077088,67.328958,62.711884,62.678437,27.471247,95.426418,10.848347,15.050261,-0.001982,13.300502,21.834281,86.569434
105569.7185,9.999678,64.806328,869.999763,30.999286,874.024764,73.186249,67.3053,62.662219,62.682224,27.404796,95.341411,10.696104,15.821407,-0.001982,13.251426,21.852578,86.553599
105870.0695,9.999678,64.937721,869.999763,30.999286,873.966463,73.135423,67.339881,62.771281,62.817935,27.380011,95.256125,10.634043,16.024655,-0.001982,13.193028,21.817296,86.555719
106170.3398,9.999678,65.188175,869.999763,30.999286,880.23147,73.061724,67.381795,62.767536,62.750247,27.512875,95.226587,10.654784,15.367088,-0.001982,13.147541,21.769963,86.553738
106470.4039,9.999678,64.797506,869.999763,30.999286,873.849116,73.276116,67.361123,62.749014,62.71457,27.699169,95.174182,10.502663,16.283696,-0.001982,13.159074,21.871619,86.550865
106770.2134,9.999678,65.227585,869.999763,30.999286,880.398363,73.241775,67.29286,62.838117,62.609499,27.733731,95.156612,10.428035,15.090113,-0.001982,13.066803,21.740189,86.553543
107070.8095,9.999678,64.595124,869.999763,30.999286,877.235591,73.082021,67.20239,62.631965,62.486953,27.660149,95.157418,10.405744,16.377349,-0.001982,13.006904,21.936673,86.560135
107370.7239,9.999678,65.095424,869.999763,30.999286,876.895845,73.157742,67.275985,62.781412,62.5969,27.545154,95.212888,10.275272,15.823399,-0.001982,12.982065,22.001881,86.564533
107671.0153,9.999678,65.108283,869.999763,30.999286,874.09275,73.234798,67.339835,62.80538,62.635264,27.61608,95.20656,10.228461,15.121995,-0.001982,12.955005,21.765356,86.574566
107971.8945,9.999678,64.814555,869.999763,30.999286,873.808511,73.27597,67.384729,62.833975,62.813001,27.662923,95.063057,10.255391,16.255799,-0.001982,12.901722,21.875401,86.589974
108272.0995,9.999678,65.327521,869.999763,30.999286,874.893688,73.21835,67.422869,62.82322,62.676572,27.539583,95.013374,10.053739,14.868932,-0.001982,12.880476,21.978486,86.595813
108572.5935,9.999678,64.820973,869.999763,30.999286,880.438596,73.213337,67.352195,62.744433,62.807902,27.612062,95.018301,10.094946,15.942957,-0.001982,12.837864,21.864217,86.588086
