Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
622473.9199,9.999678,64.753261,869.999763,30.999286,874.220155,72.149491,65.880364,61.91234,62.324357,28.180711,98.672903,16.450031,15.853289,-0.001982,9.995355,22.372045,86.646647
622774.7538,9.999678,65.090763,869.999763,30.999286,880.352542,72.110717,65.83208,61.884352,62.364266,28.118408,98.67293,16.563751,15.36111,-0.001982,9.889504,22.165746,86.642147
623074.2693,9.999678,64.958942,869.999763,30.999286,874.102622,72.009668,65.863365,61.8824,62.316269,28.153306,98.693696,16.808387,15.391,-0.001982,9.832859,22.297701,86.633862
623374.4365,9.999678,64.944279,869.999763,30.999286,875.257835,72.019269,65.863216,61.851533,62.353223,28.120115,98.695823,17.025809,15.516535,-0.001982,9.805288,22.359689,86.630775
623674.4562,9.999678,64.889596,869.999763,30.999286,880.786166,71.947155,65.795832,61.90911,62.310619,28.216975,98.687765,17.173621,15.70982,-0.001982,9.855808,22.09432,86.626377
623975.3165,9.999678,65.280156,869.999763,30.999286,879.936241,71.933221,65.858667,61.992843,62.349652,28.363141,98.689495,17.20982,14.956608,-0.001982,9.665046,22.206993,86.609351
624274.9209,9.999678,65.036025,869.999763,30.999286,879.41172,72.038663,65.895144,62.149706,62.637518,28.337284,98.763512,17.617462,15.137936,-0.001982,9.732564,22.296158,86.607222
624575.7175,9.999678,64.980346,869.999763,30.999286,873.834588,71.827075,65.704184,61.856039,62.272564,28.347949,98.792813,17.760757,15.530484,-0.001982,9.712641,22.514632,86.606739
624876.0375,9.999678,65.319024,869.999763,30.999286,879.46853,71.875771,65.801205,61.877013,62.43191,28.278165,98.809141,17.63773,14.59395,-0.001982,9.691477,22.504046,86.600406
625175.9809,9.999678,65.028315,869.999763,30.999286,873.946533,71.741981,65.886057,61.892785,62.306521,28.372185,98.816419,18.221937,14.978526,-0.001982,9.544463,22.58785,86.599439
625476.3345,9.999678,65.087823,869.999763,30.999286,879.282638,71.719331,65.80976,61.939266,62.325712,28.489878,98.796617,18.16717,15.11004,-0.001982,9.581844,22.382983,86.58551
625775.9661,9.999678,64.93619,869.999763,30.999286,879.745319,71.820765,65.871206,61.890453,62.273673,28.447852,98.765124,18.194601,15.438823,-0.001982,9.537523,22.518934,86.596129
626076.339,9.999678,65.030829,869.999763,30.999286,879.912212,71.815928,65.932112,62.054444,62.503061,28.408245,98.770382,18.232161,15.165833,-0.001982,9.459689,22.717962,86.573953
626376.9135,9.999678,65.07303,869.999763,30.999286,875.964336,71.904328,66.033042,62.236052,62.51174,28.37417,98.700354,18.145655,15.048268,-0.001982,9.446387,22.65298,86.566867
626677.3945,9.999678,65.301679,869.999763,30.999286,878.086261,71.873236,66.076269,62.177675,62.55995,28.404074,98.660605,18.073086,14.667677,-0.001982,9.441171,22.806034,86.564543
626977.5625,9.999678,64.882554,869.999763,30.999286,880.23445,71.938968,65.979315,62.21699,62.548645,28.519975,97.909047,18.11058,15.47469,-0.001982,9.450483,22.675659,86.552632
627278.1276,9.999678,64.941141,869.999763,30.999286,876.805693,71.875824,65.874321,62.200587,62.559485,28.413076,97.944266,18.045646,15.257494,-0.001982,9.322058,22.863357,86.54285
627578.8565,9.999678,65.31017,869.999763,30.999286,880.042784,71.875884,65.969772,62.128839,62.489441,28.532188,98.317429,18.010089,14.43454,-0.001982,9.319884,22.732906,86.514853
627879.2555,9.999678,64.83388,869.999763,30.999286,879.945926,71.827121,65.971423,62.213267,62.525877,28.455045,98.274588,17.980826,15.400963,-0.001982,9.230335,22.770781,86.521361
628179.9775,9.999678,65.121794,869.999763,30.999286,874.597527,71.943207,66.051023,62.317658,62.717914,28.545244,98.154335,18.453817,15.064209,-0.001982,9.18318,22.64512,86.51806
628480.2695,9.999678,65.023799,869.999763,30.999286,878.872298,71.987205,66.0658,62.311495,62.744278,28.561623,98.16913,18.089546,15.137936,-0.001982,9.141952,22.732132,86.526131
628780.7645,9.999678,65.050125,869.999763,30.999286,874.465093,71.897466,66.013532,62.158031,62.581105,28.5412,97.329011,18.169873,15.285391,-0.001982,9.139524,22.68393,86.525834
629081.4575,9.999678,64.892746,869.999763,30.999286,873.194769,72.043082,65.905643,62.212783,62.626442,28.670998,97.313595,17.864196,15.396978,-0.001982,9.013369,22.910392,86.521147
629380.9194,9.999678,64.789042,869.999763,30.999286,879.251346,71.954542,65.920798,62.112991,62.423288,28.489505,99.689049,17.973918,15.52052,-0.001982,9.099709,22.826527,86.501891
629681.6585,9.999678,65.166206,869.999763,30.999286,877.807423,71.833526,65.931881,62.132103,62.504797,28.540845,101.208809,18.219792,15.092106,-0.001982,8.964694,22.959316,86.502644
629981.7295,9.999678,65.001449,869.999763,30.999286,879.476726,71.817165,65.888453,62.159892,62.535411,28.642137,101.874368,18.22737,15.002438,-0.001982,8.972181,22.758013,86.494843
630281.5731,9.999678,64.715337,869.999763,30.999286,879.438914,71.912456,65.845236,62.025356,62.584243,28.570124,101.963893,18.149642,16.100374,-0.001982,9.025743,22.987348,86.495837
630582.6605,9.999678,65.289295,869.999763,30.999286,873.078167,71.921877,65.947171,62.212041,62.591781,28.518325,102.075071,18.403198,15.070187,-0.001982,8.865605,22.864613,86.491802
630882.7945,9.999678,64.872368,869.999763,30.999286,873.25456,71.759282,65.771087,62.020532,62.346192,28.451148,101.985413,18.519667,15.638085,-0.001982,8.853063,22.672554,86.490426
631183.4475,9.999678,64.993475,869.999763,30.999286,872.832857,71.822931,65.685307,62.067457,62.447217,28.5103,101.921911,18.660439,15.903104,-0.001982,8.806974,22.814832,86.482057
631483.6433,9.999678,65.03812,869.999763,30.999286,873.741269,71.813725,65.680234,62.069582,62.413169,28.414291,101.966892,18.749941,15.365096,-0.001982,8.763692,22.820217,86.495949
